school,district,city,enroll12,number_taker,reading,english,math,science
Burton (Phillip and Sala) Academic High,San Francisco Unified,San Francisco,248.0,50.0,20.0,20.0,21.0,20.0
C. K. McClatchy High,Sacramento City Unified,Sacramento,504.0,74.0,27.0,25.0,23.0,24.0
Cabrillo High,Lompoc Unified,Santa Barbara,280.0,27.0,26.0,24.0,24.0,25.0
Cabrillo High,Long Beach Unified,Los Angeles,531.0,52.0,18.0,17.0,18.0,17.0
Cajon High,San Bernardino City Unified,San Bernardino,631.0,100.0,21.0,19.0,19.0,20.0
Calabasas High,Las Virgenes Unified,Los Angeles,524.0,182.0,27.0,28.0,25.0,25.0
Calaveras High,Calaveras Unified,Calaveras,189.0,19.0,25.0,22.0,24.0,23.0
Calexico High,Calexico Unified,Imperial,761.0,90.0,20.0,19.0,21.0,20.0
California Academy of Mathematics and Science,Long Beach Unified,Los Angeles,164.0,65.0,26.0,27.0,27.0,25.0
California Connections Academy Southern California,Capistrano Unified,Orange,618.0,30.0,25.0,25.0,23.0,24.0
California High,San Ramon Valley Unified,Contra Costa,648.0,203.0,27.0,26.0,26.0,26.0
California High,Whittier Union High,Los Angeles,670.0,58.0,21.0,20.0,20.0,20.0
California School for the Deaf-Fremont,California School for the Deaf-Fremont (State Special Schl),Alameda,81.0,21.0,16.0,13.0,15.0,17.0
California School for the Deaf-Riverside,California School for the Deaf-Riverside (State Special Schl),Riverside,76.0,26.0,16.0,14.0,15.0,16.0
California School of the Arts - San Gabriel Valley,Duarte Unified,Los Angeles,90.0,27.0,27.0,27.0,24.0,24.0
Calipatria High,Calipatria Unified,Imperial,91.0,19.0,20.0,21.0,19.0,20.0
Camino Nuevo Charter High,Los Angeles Unified,Los Angeles,86.0,34.0,17.0,16.0,15.0,15.0
Camino Nuevo High #2,Los Angeles Unified,Los Angeles,112.0,82.0,16.0,15.0,16.0,15.0
Campolindo High,Acalanes Union High,Contra Costa,340.0,161.0,30.0,30.0,28.0,28.0
Canoga Park Senior High,Los Angeles Unified,Los Angeles,227.0,32.0,19.0,18.0,18.0,18.0
Canyon Crest Academy,San Dieguito Union High,San Diego,635.0,409.0,30.0,31.0,30.0,29.0
Canyon High,Orange Unified,Orange,572.0,119.0,25.0,25.0,24.0,24.0
Canyon High,William S. Hart Union High,Los Angeles,536.0,65.0,23.0,23.0,22.0,22.0
Canyon Springs High,Moreno Valley Unified,Riverside,494.0,31.0,22.0,21.0,21.0,19.0
Capistrano Valley High,Capistrano Unified,Orange,521.0,151.0,26.0,27.0,26.0,25.0
Capuchino High,San Mateo Union High,San Mateo,275.0,52.0,20.0,20.0,20.0,20.0
Carlmont High,Sequoia Union High,San Mateo,522.0,173.0,27.0,26.0,27.0,26.0
Carlsbad High,Carlsbad Unified,San Diego,525.0,154.0,24.0,24.0,24.0,23.0
Carmel High,Carmel Unified,Monterey,207.0,121.0,26.0,26.0,25.0,25.0
Carpinteria Senior High,Carpinteria Unified,Santa Barbara,148.0,39.0,22.0,19.0,22.0,22.0
Carson Senior High,Los Angeles Unified,Los Angeles,334.0,26.0,20.0,20.0,20.0,19.0
Casa Grande High,Petaluma Joint Union High,Sonoma,425.0,55.0,24.0,24.0,24.0,23.0
Casa Roble Fundamental High,San Juan Unified,Sacramento,255.0,19.0,22.0,20.0,21.0,22.0
Castle Park Senior High,Sweetwater Union High,San Diego,447.0,23.0,21.0,20.0,21.0,20.0
Castro Valley High,Castro Valley Unified,Alameda,644.0,106.0,26.0,25.0,25.0,25.0
Cathedral City High,Palm Springs Unified,Riverside,390.0,31.0,21.0,20.0,19.0,20.0
Centennial High,Corona-Norco Unified,Riverside,786.0,163.0,21.0,21.0,22.0,21.0
Centennial High,Compton Unified,Los Angeles,214.0,153.0,14.0,13.0,15.0,15.0
Centennial High,Kern High,Kern,471.0,51.0,22.0,21.0,23.0,22.0
Central City Value,Los Angeles Unified,Los Angeles,105.0,15.0,21.0,21.0,19.0,20.0
Central High East Campus,Central Unified,Fresno,913.0,37.0,22.0,21.0,20.0,22.0
Central Union High,Central Union High,Imperial,403.0,56.0,21.0,20.0,21.0,21.0
Century High,Santa Ana Unified,Orange,417.0,39.0,19.0,18.0,18.0,18.0
Ceres High,Ceres Unified,Stanislaus,381.0,23.0,19.0,17.0,18.0,19.0
Cerritos High,ABC Unified,Los Angeles,509.0,93.0,27.0,28.0,28.0,26.0
Cesar Chavez High,Stockton Unified,San Joaquin,521.0,22.0,19.0,19.0,18.0,18.0
Cesar E. Chavez High,Delano Joint Union High,Kern,316.0,30.0,22.0,21.0,22.0,21.0
Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),Los Angeles Unified,Los Angeles,108.0,28.0,18.0,16.0,18.0,17.0
Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,Los Angeles Unified,Los Angeles,87.0,39.0,17.0,16.0,17.0,17.0
Chaffey High,Chaffey Joint Union High,San Bernardino,782.0,31.0,21.0,20.0,20.0,20.0
CHAMPS - Charter HS of Arts-Multimedia & Performing,Los Angeles Unified,Los Angeles,182.0,52.0,22.0,22.0,18.0,20.0
Channel Islands High,Oxnard Union High,Ventura,611.0,74.0,19.0,18.0,18.0,18.0
Chaparral High,Temecula Valley Unified,Riverside,722.0,178.0,23.0,21.0,21.0,22.0
Charter Oak High,Charter Oak Unified,Los Angeles,364.0,38.0,22.0,21.0,22.0,22.0
Chatsworth Charter High,Los Angeles Unified,Los Angeles,448.0,19.0,21.0,20.0,21.0,20.0
Chico High,Chico Unified,Butte,475.0,46.0,25.0,23.0,24.0,24.0
Chino High,Chino Valley Unified,San Bernardino,432.0,16.0,22.0,21.0,20.0,22.0
Chino Hills High,Chino Valley Unified,San Bernardino,704.0,79.0,25.0,24.0,24.0,23.0
Chowchilla Union High,Chowchilla Union High,Madera,262.0,18.0,21.0,20.0,20.0,21.0
Christopher High,Gilroy Unified,Santa Clara,397.0,100.0,23.0,22.0,23.0,22.0
Chula Vista Senior High,Sweetwater Union High,San Diego,672.0,83.0,20.0,20.0,19.0,20.0
Citrus High (Continuation),Fontana Unified,San Bernardino,181.0,103.0,12.0,10.0,14.0,12.0
Citrus Valley High,Redlands Unified,San Bernardino,490.0,33.0,24.0,23.0,23.0,23.0
City Honors College Preparatory Academy,Inglewood Unified,Los Angeles,95.0,17.0,19.0,18.0,18.0,18.0
Clairemont High,San Diego Unified,San Diego,207.0,27.0,25.0,25.0,24.0,24.0
Claremont High,Claremont Unified,Los Angeles,591.0,139.0,25.0,24.0,24.0,24.0
Classical Academy High,Escondido Union High,San Diego,298.0,69.0,27.0,27.0,27.0,26.0
Clayton Valley Charter High,Contra Costa County Office of Education,Contra Costa,482.0,130.0,25.0,24.0,23.0,24.0
Clovis East High,Clovis Unified,Fresno,584.0,55.0,22.0,21.0,22.0,23.0
Clovis High,Clovis Unified,Fresno,733.0,88.0,24.0,22.0,22.0,22.0
Clovis North High,Clovis Unified,Fresno,576.0,124.0,27.0,27.0,27.0,27.0
Clovis West High,Clovis Unified,Fresno,486.0,84.0,23.0,24.0,24.0,23.0
Coachella Valley High,Coachella Valley Unified,Riverside,607.0,88.0,18.0,16.0,19.0,18.0
Cobalt Institute of Math and Science Academy,Victor Valley Union High,San Bernardino,103.0,19.0,20.0,18.0,19.0,19.0
Colfax High,Placer Union High,Placer,125.0,31.0,24.0,22.0,22.0,22.0
College Park High,Mt. Diablo Unified,Contra Costa,443.0,70.0,25.0,24.0,24.0,23.0
Colony High,Chaffey Joint Union High,San Bernardino,539.0,55.0,20.0,20.0,20.0,20.0
Colton High,Colton Joint Unified,San Bernardino,445.0,71.0,18.0,17.0,19.0,18.0
Communication and Technology at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,103.0,33.0,15.0,14.0,17.0,15.0
Compton Early College High,Compton Unified,Los Angeles,65.0,64.0,20.0,18.0,19.0,19.0
Compton High,Compton Unified,Los Angeles,354.0,274.0,15.0,13.0,16.0,15.0
Concord High,Mt. Diablo Unified,Contra Costa,369.0,24.0,25.0,24.0,24.0,23.0
Contreras Learning Center-Academic Leadership Community,Los Angeles Unified,Los Angeles,84.0,58.0,14.0,13.0,16.0,15.0
Contreras Learning Center-School of Social Justice,Los Angeles Unified,Los Angeles,90.0,40.0,16.0,14.0,16.0,15.0
