school,district,city,enroll12,number_taker,reading,english,math,science
Merced High,Merced Union High,Merced,400.0,52.0,20.0,19.0,20.0,20.0
Merrill F. West High,Tracy Joint Unified,San Joaquin,481.0,65.0,20.0,19.0,19.0,20.0
Mesa Verde High,San Juan Unified,Sacramento,211.0,27.0,20.0,19.0,19.0,19.0
Middle College High,West Contra Costa Unified,Contra Costa,72.0,21.0,22.0,20.0,20.0,20.0
Middle College High,Santa Ana Unified,Orange,86.0,79.0,19.0,17.0,19.0,19.0
Middle College High,Lodi Unified,San Joaquin,61.0,44.0,26.0,26.0,24.0,24.0
Middle College High,Los Angeles Unified,Los Angeles,88.0,26.0,19.0,19.0,19.0,18.0
Middle College High,San Bernardino City Unified,San Bernardino,67.0,47.0,20.0,19.0,20.0,20.0
Millikan High,Long Beach Unified,Los Angeles,824.0,71.0,24.0,23.0,23.0,23.0
Mills High,San Mateo Union High,San Mateo,299.0,82.0,27.0,27.0,28.0,27.0
Milpitas High,Milpitas Unified,Santa Clara,762.0,72.0,26.0,27.0,27.0,26.0
Minarets Charter High,Chawanakee Unified,Madera,71.0,17.0,22.0,20.0,20.0,21.0
Mira Costa High,Manhattan Beach Unified,Los Angeles,594.0,269.0,28.0,28.0,27.0,27.0
Mira Loma High,San Juan Unified,Sacramento,454.0,71.0,29.0,30.0,29.0,28.0
Mira Mesa High,San Diego Unified,San Diego,620.0,65.0,23.0,22.0,23.0,22.0
Miramonte High,Acalanes Union High,Contra Costa,319.0,149.0,29.0,29.0,28.0,28.0
Mission Bay High,San Diego Unified,San Diego,226.0,51.0,22.0,21.0,21.0,21.0
Mission High,San Francisco Unified,San Francisco,324.0,98.0,17.0,15.0,17.0,16.0
Mission Hills High,San Marcos Unified,San Diego,584.0,178.0,23.0,21.0,21.0,22.0
Mission Oak High,Tulare Joint Union High,Tulare,368.0,18.0,21.0,21.0,21.0,21.0
Mission San Jose High,Fremont Unified,Alameda,490.0,157.0,31.0,32.0,32.0,30.0
Mission Viejo High,Saddleback Valley Unified,Orange,562.0,148.0,26.0,25.0,25.0,25.0
Mission Vista High,Vista Unified,San Diego,391.0,92.0,27.0,25.0,25.0,24.0
MIT Academy,Vallejo City Unified,Solano,121.0,15.0,20.0,20.0,18.0,20.0
Modesto High,Modesto City High,Stanislaus,585.0,163.0,20.0,19.0,20.0,19.0
Modoc High,Modoc Joint Unified,Modoc,55.0,40.0,17.0,15.0,17.0,18.0
Mojave Jr./Sr. High,Mojave Unified,Kern,36.0,27.0,16.0,13.0,16.0,16.0
Monache High,Porterville Unified,Tulare,464.0,105.0,19.0,17.0,18.0,19.0
Monrovia High,Monrovia Unified,Los Angeles,393.0,53.0,21.0,19.0,19.0,19.0
Monta Vista High,Fremont Union High,Santa Clara,584.0,212.0,31.0,32.0,32.0,31.0
Montclair High,Chaffey Joint Union High,San Bernardino,705.0,257.0,19.0,17.0,19.0,19.0
Monte Vista High,Grossmont Union High,San Diego,456.0,22.0,26.0,24.0,25.0,24.0
Monte Vista High,San Ramon Valley Unified,Contra Costa,597.0,293.0,27.0,27.0,26.0,26.0
Montebello High,Montebello Unified,Los Angeles,628.0,35.0,18.0,18.0,19.0,18.0
Monterey High,Monterey Peninsula Unified,Monterey,348.0,45.0,23.0,22.0,22.0,21.0
Monterey Trail High,Elk Grove Unified,Sacramento,583.0,117.0,21.0,20.0,21.0,21.0
Montgomery High,Santa Rosa High,Sonoma,354.0,47.0,24.0,23.0,25.0,24.0
Montgomery Senior High,Sweetwater Union High,San Diego,452.0,62.0,18.0,18.0,18.0,19.0
Moorpark High,Moorpark Unified,Ventura,457.0,108.0,25.0,24.0,25.0,24.0
Moreno Valley High,Moreno Valley Unified,Riverside,540.0,39.0,21.0,19.0,20.0,19.0
Morningside High,Inglewood Unified,Los Angeles,193.0,51.0,17.0,15.0,16.0,16.0
Morro Bay High,San Luis Coastal Unified,San Luis Obispo,197.0,35.0,26.0,25.0,23.0,24.0
Morse High,San Diego Unified,San Diego,374.0,55.0,21.0,21.0,21.0,20.0
Mount Miguel High,Grossmont Union High,San Diego,322.0,27.0,19.0,18.0,20.0,19.0
Mountain House High,Lammersville Joint Unified,San Joaquin,283.0,52.0,28.0,27.0,26.0,26.0
Mountain View High,Mountain View-Los Altos Union High,Santa Clara,487.0,174.0,28.0,28.0,27.0,27.0
Mountain View High,El Monte Union High,Los Angeles,330.0,51.0,21.0,19.0,19.0,19.0
Mt. Carmel High,Poway Unified,San Diego,476.0,134.0,27.0,26.0,26.0,25.0
Mt. Diablo High,Mt. Diablo Unified,Contra Costa,255.0,30.0,19.0,18.0,19.0,19.0
Mt. Eden High,Hayward Unified,Alameda,459.0,38.0,22.0,21.0,20.0,21.0
Mt. Whitney High,Visalia Unified,Tulare,397.0,20.0,22.0,20.0,21.0,21.0
Murrieta Mesa High,Murrieta Valley Unified,Riverside,574.0,151.0,22.0,21.0,21.0,21.0
Murrieta Valley High,Murrieta Valley Unified,Riverside,572.0,142.0,23.0,22.0,22.0,22.0
Napa High,Napa Valley Unified,Napa,432.0,59.0,22.0,22.0,22.0,22.0
Nathaniel Narbonne Senior High,Los Angeles Unified,Los Angeles,543.0,50.0,21.0,19.0,20.0,21.0
Natomas Charter,Natomas Unified,Sacramento,117.0,18.0,23.0,24.0,22.0,22.0
Natomas High,Natomas Unified,Sacramento,243.0,199.0,15.0,13.0,16.0,15.0
Natomas Pacific Pathways Prep,Natomas Unified,Sacramento,155.0,17.0,25.0,23.0,23.0,22.0
Nevada Union High,Nevada Joint Union High,Nevada,353.0,34.0,27.0,25.0,25.0,24.0
New Designs Charter,Los Angeles Unified,Los Angeles,86.0,68.0,17.0,16.0,18.0,17.0
New Designs Charter School-Watts,Los Angeles Unified,Los Angeles,47.0,25.0,14.0,11.0,15.0,15.0
New West Charter,SBE - New West Charter,Los Angeles,90.0,19.0,27.0,28.0,24.0,25.0
Newark Memorial High,Newark Unified,Alameda,397.0,31.0,22.0,22.0,22.0,22.0
Newbury Park High,Conejo Valley Unified,Ventura,596.0,154.0,27.0,26.0,26.0,25.0
Newport Harbor High,Newport-Mesa Unified,Orange,548.0,237.0,25.0,25.0,24.0,24.0
Nipomo High,Lucia Mar Unified,San Luis Obispo,226.0,23.0,22.0,21.0,21.0,23.0
Nogales High,Rowland Unified,Los Angeles,433.0,68.0,19.0,17.0,18.0,19.0
Norco High,Corona-Norco Unified,Riverside,472.0,58.0,23.0,21.0,22.0,22.0
Nordhoff High,Ojai Unified,Ventura,157.0,15.0,26.0,26.0,24.0,24.0
Norte Vista High,Alvord Unified,Riverside,483.0,63.0,20.0,18.0,19.0,18.0
North High,Kern High,Kern,404.0,16.0,22.0,20.0,20.0,21.0
North High,Torrance Unified,Los Angeles,448.0,73.0,24.0,23.0,24.0,23.0
North Hollywood Senior High,Los Angeles Unified,Los Angeles,573.0,52.0,27.0,27.0,26.0,25.0
North Monterey County High,North Monterey County Unified,Monterey,297.0,42.0,19.0,17.0,18.0,20.0
North Salinas High,Salinas Union High,Monterey,498.0,50.0,20.0,19.0,19.0,19.0
North Tahoe High,Tahoe-Truckee Unified,Placer,103.0,32.0,26.0,24.0,25.0,25.0
Northgate High,Mt. Diablo Unified,Contra Costa,364.0,180.0,27.0,27.0,26.0,26.0
Northview High,Covina-Valley Unified,Los Angeles,325.0,46.0,20.0,18.0,20.0,19.0
Northwood High,Irvine Unified,Orange,623.0,234.0,29.0,30.0,29.0,29.0
Norwalk High,Norwalk-La Mirada Unified,Los Angeles,453.0,86.0,19.0,17.0,17.0,18.0
NOVA Academy - Coachella,Coachella Valley Unified,Riverside,38.0,15.0,20.0,18.0,19.0,19.0
Nova Academy Early College High,Santa Ana Unified,Orange,98.0,42.0,19.0,17.0,18.0,19.0
Novato High,Novato Unified,Marin,326.0,88.0,23.0,23.0,23.0,22.0
Nuview Bridge Early College High,Nuview Union,Riverside,157.0,169.0,19.0,17.0,20.0,19.0
Oak Grove High,East Side Union High,Santa Clara,399.0,37.0,23.0,22.0,23.0,22.0
Oak Hills High,Hesperia Unified,San Bernardino,570.0,154.0,20.0,18.0,20.0,19.0
Oak Park High,Oak Park Unified,Ventura,377.0,152.0,29.0,29.0,27.0,27.0
Oak Ridge High,El Dorado Union High,El Dorado,592.0,201.0,26.0,26.0,27.0,26.0
Oakdale High,Oakdale Joint Unified,Stanislaus,350.0,37.0,25.0,24.0,24.0,23.0
Oakland Charter High,Oakland Unified,Alameda,110.0,18.0,23.0,22.0,25.0,22.0
Oakland High,Oakland Unified,Alameda,328.0,74.0,19.0,19.0,19.0,19.0
Oakland School for the Arts,Oakland Unified,Alameda,103.0,30.0,26.0,26.0,21.0,23.0
Oakland Technical High,Oakland Unified,Alameda,492.0,131.0,26.0,25.0,25.0,24.0
Oakland Unity High,Oakland Unified,Alameda,81.0,53.0,17.0,15.0,19.0,18.0
Oakmont High,Roseville Joint Union High,Placer,482.0,74.0,26.0,25.0,25.0,25.0
Ocean View High,Huntington Beach Union High,Orange,324.0,19.0,23.0,23.0,22.0,24.0
Oceanside High,Oceanside Unified,San Diego,530.0,76.0,21.0,19.0,20.0,20.0
O'Connell (John) High,San Francisco Unified,San Francisco,99.0,38.0,17.0,16.0,17.0,18.0
OCSA,Santa Ana Unified,Orange,379.0,190.0,29.0,29.0,25.0,26.0
Olympian High,Sweetwater Union High,San Diego,631.0,98.0,23.0,22.0,22.0,22.0
Ontario High,Chaffey Joint Union High,San Bernardino,588.0,81.0,19.0,17.0,19.0,18.0
Orange Cove High,Kings Canyon Joint Unified,Fresno,122.0,33.0,16.0,15.0,16.0,16.0
Orange Glen High,Escondido Union High,San Diego,497.0,101.0,19.0,18.0,18.0,19.0
Orcutt Academy Charter,Orcutt Union Elementary,Santa Barbara,145.0,49.0,25.0,26.0,25.0,25.0
Orestimba High,Newman-Crows Landing Unified,Stanislaus,216.0,18.0,23.0,22.0,23.0,22.0
Orland High,Orland Joint Unified,Glenn,166.0,37.0,23.0,21.0,19.0,21.0
Orosi High,Cutler-Orosi Joint Unified,Tulare,237.0,85.0,17.0,15.0,17.0,17.0
Oroville High,Oroville Union High,Butte,225.0,19.0,21.0,19.0,20.0,21.0
Orthopaedic Hospital,Los Angeles Unified,Los Angeles,168.0,69.0,18.0,17.0,18.0,19.0
Otay Ranch Senior High,Sweetwater Union High,San Diego,626.0,67.0,22.0,21.0,21.0,20.0
Oxford Academy,Anaheim Union High,Orange,200.0,56.0,31.0,32.0,30.0,30.0
Oxnard High,Oxnard Union High,Ventura,596.0,31.0,21.0,22.0,22.0,21.0
Pacheco High,Los Banos Unified,Merced,418.0,39.0,20.0,20.0,19.0,19.0
Pacific Collegiate Charter,Santa Cruz County Office of Education,Santa Cruz,90.0,48.0,29.0,29.0,27.0,27.0
Pacific Grove High,Pacific Grove Unified,Monterey,138.0,31.0,26.0,27.0,26.0,26.0
Pacific High,San Bernardino City Unified,San Bernardino,263.0,77.0,16.0,16.0,16.0,17.0
Pacifica High,Garden Grove Unified,Orange,395.0,36.0,24.0,24.0,25.0,24.0
Pacifica High,Oxnard Union High,Ventura,726.0,16.0,22.0,20.0,21.0,21.0
Pajaro Valley High,Pajaro Valley Unified,Santa Cruz,294.0,71.0,18.0,16.0,17.0,18.0
Palisades Charter High,Los Angeles Unified,Los Angeles,714.0,207.0,28.0,28.0,26.0,26.0
Palm Desert High,Desert Sands Unified,Riverside,435.0,84.0,26.0,24.0,23.0,24.0
Palm Springs High,Palm Springs Unified,Riverside,418.0,119.0,19.0,18.0,19.0,19.0
Palmdale Aerospace Academy,Palmdale Elementary,Los Angeles,167.0,31.0,21.0,21.0,20.0,21.0
Palmdale High,Antelope Valley Union High,Los Angeles,621.0,24.0,19.0,18.0,17.0,18.0
Palo Alto High,Palo Alto Unified,Santa Clara,507.0,231.0,28.0,28.0,28.0,28.0
Paloma Valley High,Perris Union High,Riverside,717.0,73.0,21.0,19.0,20.0,20.0
Palos Verdes High,Palos Verdes Peninsula Unified,Los Angeles,451.0,208.0,26.0,27.0,26.0,25.0
Palos Verdes Peninsula High,Palos Verdes Peninsula Unified,Los Angeles,609.0,217.0,28.0,28.0,27.0,27.0
Paradise Senior High,Paradise Unified,Butte,231.0,22.0,23.0,21.0,24.0,23.0
Paramount High,Paramount Unified,Los Angeles,1135.0,61.0,21.0,21.0,21.0,22.0
Parlier High,Parlier Unified,Fresno,201.0,33.0,18.0,16.0,18.0,18.0
Pasadena High,Pasadena Unified,Los Angeles,414.0,47.0,22.0,20.0,20.0,20.0
Paso Robles High,Paso Robles Joint Unified,San Luis Obispo,455.0,89.0,23.0,22.0,22.0,22.0
Patriot High,Jurupa Unified,Riverside,539.0,37.0,22.0,20.0,21.0,20.0
Patterson High,Patterson Joint Unified,Stanislaus,361.0,15.0,24.0,22.0,21.0,21.0
Performing Arts Community at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,125.0,20.0,16.0,14.0,16.0,15.0
Perris High,Perris Union High,Riverside,512.0,152.0,17.0,16.0,17.0,17.0
Petaluma High,Petaluma Joint Union High,Sonoma,319.0,78.0,25.0,24.0,23.0,24.0
Phineas Banning Senior High,Los Angeles Unified,Los Angeles,545.0,89.0,19.0,17.0,18.0,18.0
Piedmont High,Piedmont City Unified,Alameda,205.0,111.0,30.0,32.0,29.0,29.0
Piedmont Hills High,East Side Union High,Santa Clara,480.0,48.0,26.0,26.0,27.0,26.0
Pierce High,Pierce Joint Unified,Colusa,103.0,16.0,19.0,17.0,19.0,19.0
Piner High,Santa Rosa High,Sonoma,338.0,47.0,22.0,20.0,20.0,21.0
Pinole Valley High,West Contra Costa Unified,Contra Costa,266.0,33.0,21.0,21.0,21.0,21.0
Pioneer High,Whittier Union High,Los Angeles,315.0,88.0,18.0,17.0,20.0,18.0
Pioneer High,San Jose Unified,Santa Clara,381.0,92.0,27.0,26.0,25.0,25.0
Pioneer High,Woodland Joint Unified,Yolo,350.0,80.0,20.0,19.0,20.0,21.0
Pioneer Valley High,Santa Maria Joint Union High,Santa Barbara,587.0,92.0,20.0,19.0,21.0,19.0
Pittsburg Senior High,Pittsburg Unified,Contra Costa,716.0,155.0,19.0,19.0,19.0,19.0
Placer High,Placer Union High,Placer,343.0,64.0,24.0,22.0,23.0,23.0
Pleasant Grove High,Elk Grove Unified,Sacramento,556.0,162.0,26.0,25.0,27.0,25.0
Pleasant Valley High,Chico Unified,Butte,462.0,84.0,23.0,23.0,24.0,23.0
Point Loma High,San Diego Unified,San Diego,456.0,157.0,26.0,25.0,24.0,25.0
Polytechnic High,Riverside Unified,Riverside,600.0,42.0,23.0,21.0,22.0,21.0
Polytechnic High,Long Beach Unified,Los Angeles,1007.0,137.0,25.0,24.0,24.0,24.0
Pomona High,Pomona Unified,Los Angeles,270.0,58.0,18.0,18.0,18.0,18.0
Ponderosa High,El Dorado Union High,El Dorado,420.0,105.0,25.0,24.0,25.0,25.0
Port of Los Angeles High,Los Angeles Unified,Los Angeles,202.0,38.0,22.0,21.0,22.0,21.0
Porterville High,Porterville Unified,Tulare,435.0,88.0,19.0,18.0,19.0,19.0
Poway High,Poway Unified,San Diego,533.0,195.0,24.0,23.0,24.0,23.0
Preuss School UCSD,San Diego Unified,San Diego,103.0,100.0,21.0,20.0,20.0,20.0
Prospect High,Campbell Union High,Santa Clara,386.0,65.0,26.0,26.0,25.0,26.0
PUC CALS Middle School and Early College High,Los Angeles Unified,Los Angeles,58.0,52.0,16.0,16.0,17.0,17.0
PUC Community Charter Middle and PUC Community Charter Early College High,Los Angeles Unified,Los Angeles,89.0,83.0,17.0,16.0,18.0,18.0
PUC Early College Academy for Leaders and Scholars (ECALS),Los Angeles Unified,Los Angeles,81.0,68.0,15.0,15.0,17.0,17.0
PUC Lakeview Charter High,Los Angeles Unified,Los Angeles,100.0,93.0,18.0,17.0,18.0,17.0
PUC Nueva Esperanza Charter Academy,Los Angeles Unified,Los Angeles,0.0,22.0,16.0,15.0,17.0,16.0
PUC Triumph Charter Academy and PUC Triumph Charter High,Los Angeles Unified,Los Angeles,116.0,89.0,16.0,15.0,17.0,17.0
Quartz Hill High,Antelope Valley Union High,Los Angeles,750.0,68.0,26.0,25.0,23.0,24.0
Ramon C. Cortines School of Visual and Performing Arts,Los Angeles Unified,Los Angeles,342.0,48.0,21.0,21.0,19.0,20.0
Ramona High,Ramona City Unified,San Diego,352.0,80.0,23.0,22.0,23.0,23.0
Ramona High,Riverside Unified,Riverside,543.0,127.0,20.0,18.0,19.0,19.0
Rancho Bernardo High,Poway Unified,San Diego,597.0,189.0,25.0,25.0,26.0,25.0
Rancho Buena Vista High,Vista Unified,San Diego,484.0,63.0,23.0,22.0,23.0,22.0
Rancho Campana High,Oxnard Union High,Ventura,166.0,30.0,25.0,25.0,23.0,24.0
Rancho Cotate High,Cotati-Rohnert Park Unified,Sonoma,343.0,38.0,20.0,18.0,20.0,20.0
Rancho Cucamonga High,Chaffey Joint Union High,San Bernardino,798.0,77.0,23.0,22.0,22.0,22.0
Rancho Dominguez Preparatory,Los Angeles Unified,Los Angeles,129.0,43.0,16.0,15.0,17.0,17.0
Rancho Mirage High,Palm Springs Unified,Riverside,362.0,36.0,22.0,20.0,19.0,20.0
Rancho Verde High,Val Verde Unified,Riverside,505.0,37.0,20.0,19.0,19.0,19.0
Red Bluff High,Red Bluff Joint Union High,Tehama,320.0,151.0,20.0,19.0,20.0,20.0
Redlands East Valley High,Redlands Unified,San Bernardino,545.0,92.0,23.0,22.0,23.0,22.0
Redlands Senior High,Redlands Unified,San Bernardino,569.0,46.0,28.0,27.0,28.0,27.0
Redondo Union High,Redondo Beach Unified,Los Angeles,709.0,267.0,24.0,24.0,23.0,24.0
Redwood High,Tamalpais Union High,Marin,447.0,176.0,28.0,28.0,27.0,27.0
Redwood High,Visalia Unified,Tulare,494.0,74.0,23.0,23.0,22.0,23.0
Reedley High,Kings Canyon Joint Unified,Fresno,348.0,105.0,20.0,18.0,18.0,19.0
Reedley Middle College High,Kings Canyon Joint Unified,Fresno,34.0,31.0,17.0,16.0,18.0,17.0
Renaissance Arts Academy,Los Angeles Unified,Los Angeles,44.0,40.0,23.0,24.0,20.0,21.0
Reseda Charter High,Los Angeles Unified,Los Angeles,349.0,18.0,20.0,20.0,20.0,21.0
Rialto High,Rialto Unified,San Bernardino,611.0,93.0,19.0,18.0,20.0,20.0
Richmond High,West Contra Costa Unified,Contra Costa,386.0,70.0,18.0,16.0,17.0,17.0
Ridgeview High,Kern High,Kern,666.0,54.0,19.0,17.0,18.0,19.0
Rim of the World Senior High,Rim of the World Unified,San Bernardino,209.0,26.0,25.0,24.0,22.0,24.0
Rio Americano High,San Juan Unified,Sacramento,385.0,84.0,25.0,26.0,25.0,24.0
Rio Linda High,Twin Rivers Unified,Sacramento,318.0,28.0,20.0,19.0,20.0,20.0
Rio Mesa High,Oxnard Union High,Ventura,549.0,37.0,22.0,22.0,22.0,22.0
Rio Vista High,River Delta Joint Unified,Sacramento,106.0,22.0,19.0,19.0,18.0,19.0
Ripon High,Ripon Unified,San Joaquin,190.0,37.0,25.0,23.0,23.0,23.0
River City High,Washington Unified,Yolo,476.0,54.0,21.0,19.0,20.0,20.0
River Valley Charter,Lakeside Union Elementary,San Diego,50.0,15.0,28.0,26.0,26.0,27.0
River Valley High,Yuba City Unified,Sutter,435.0,59.0,23.0,22.0,22.0,23.0
Riverdale High,Riverdale Joint Unified,Fresno,124.0,50.0,16.0,15.0,18.0,18.0
Riverside Preparatory,Oro Grande,San Bernardino,117.0,17.0,18.0,18.0,17.0,19.0
Riverside STEM Academy,Riverside Unified,Riverside,53.0,22.0,29.0,28.0,25.0,25.0
Robert F. Kennedy High,Delano Joint Union High,Kern,304.0,54.0,20.0,18.0,20.0,20.0
Rocklin High,Rocklin Unified,Placer,499.0,164.0,25.0,25.0,25.0,24.0
Ronald E. McNair High,Lodi Unified,San Joaquin,438.0,62.0,19.0,18.0,20.0,19.0
Roosevelt High,Fresno Unified,Fresno,447.0,18.0,16.0,14.0,16.0,17.0
Roseland Charter,Roseland,Sonoma,147.0,89.0,17.0,16.0,18.0,18.0
Rosemead High,El Monte Union High,Los Angeles,511.0,51.0,26.0,25.0,25.0,24.0
Rosemont High,Sacramento City Unified,Sacramento,300.0,32.0,21.0,19.0,20.0,20.0
Roseville High,Roseville Joint Union High,Placer,416.0,110.0,23.0,22.0,22.0,22.0
Royal High,Simi Valley Unified,Ventura,456.0,55.0,25.0,25.0,24.0,25.0
Ruben S. Ayala High,Chino Valley Unified,San Bernardino,695.0,133.0,25.0,26.0,25.0,25.0
Rubidoux High,Jurupa Unified,Riverside,350.0,74.0,17.0,17.0,17.0,18.0
S.F. International High,San Francisco Unified,San Francisco,100.0,43.0,13.0,12.0,16.0,15.0
Sacramento Charter High,Sacramento City Unified,Sacramento,151.0,144.0,17.0,16.0,17.0,17.0
Saddleback High,Santa Ana Unified,Orange,383.0,109.0,18.0,16.0,19.0,18.0
Sage Creek High,Carlsbad Unified,San Diego,307.0,103.0,27.0,28.0,27.0,26.0
Saint Helena High,Saint Helena Unified,Napa,121.0,28.0,25.0,26.0,22.0,23.0
Salinas High,Salinas Union High,Monterey,646.0,137.0,22.0,21.0,21.0,21.0
Samueli Academy,Orange County Department of Education,Orange,119.0,26.0,21.0,21.0,20.0,20.0
San Benito High,San Benito High,San Benito,744.0,118.0,21.0,20.0,21.0,21.0
San Bernardino High,San Bernardino City Unified,San Bernardino,321.0,71.0,20.0,18.0,19.0,19.0
San Clemente High,Capistrano Unified,Orange,808.0,310.0,26.0,26.0,25.0,25.0
San Diego International Studies,San Diego Unified,San Diego,286.0,99.0,25.0,24.0,23.0,24.0
San Diego Science and Technology,San Diego Unified,San Diego,157.0,19.0,21.0,20.0,19.0,20.0
San Dieguito HS Academy,San Dieguito Union High,San Diego,478.0,217.0,27.0,27.0,26.0,25.0
San Dimas High,Bonita Unified,Los Angeles,324.0,42.0,24.0,23.0,24.0,23.0
San Fernando Senior High,Los Angeles Unified,Los Angeles,458.0,75.0,18.0,17.0,18.0,18.0
San Gabriel High,Alhambra Unified,Los Angeles,527.0,54.0,21.0,20.0,21.0,21.0
San Gorgonio High,San Bernardino City Unified,San Bernardino,450.0,24.0,19.0,19.0,19.0,20.0
San Jacinto High,San Jacinto Unified,Riverside,574.0,30.0,19.0,19.0,18.0,18.0
San Juan High,San Juan Unified,Sacramento,170.0,32.0,19.0,17.0,18.0,18.0
San Juan Hills High,Capistrano Unified,Orange,580.0,199.0,26.0,26.0,25.0,25.0
San Leandro High,San Leandro Unified,Alameda,662.0,78.0,22.0,21.0,21.0,22.0
San Lorenzo High,San Lorenzo Unified,Alameda,346.0,48.0,20.0,19.0,20.0,19.0
San Lorenzo Valley High,San Lorenzo Valley Unified,Santa Cruz,139.0,20.0,26.0,26.0,23.0,25.0
San Luis Obispo High,San Luis Coastal Unified,San Luis Obispo,370.0,139.0,26.0,25.0,25.0,24.0
San Marcos High,San Marcos Unified,San Diego,748.0,244.0,25.0,24.0,23.0,24.0
San Marcos Senior High,Santa Barbara Unified,Santa Barbara,535.0,106.0,25.0,25.0,24.0,25.0
San Marin High,Novato Unified,Marin,266.0,107.0,26.0,25.0,25.0,24.0
San Marino High,San Marino Unified,Los Angeles,269.0,95.0,28.0,29.0,29.0,27.0
San Mateo High,San Mateo Union High,San Mateo,414.0,73.0,28.0,28.0,27.0,27.0
San Pasqual High,Escondido Union High,San Diego,518.0,98.0,22.0,20.0,21.0,21.0
San Pedro Senior High,Los Angeles Unified,Los Angeles,480.0,49.0,21.0,20.0,20.0,20.0
San Rafael High,San Rafael City High,Marin,296.0,84.0,24.0,23.0,23.0,22.0
San Ramon Valley High,San Ramon Valley Unified,Contra Costa,502.0,282.0,27.0,27.0,26.0,26.0
San Ysidro High,Sweetwater Union High,San Diego,702.0,139.0,18.0,17.0,19.0,18.0
Sanger High,Sanger Unified,Fresno,734.0,61.0,21.0,19.0,20.0,20.0
Santa Ana High,Santa Ana Unified,Orange,648.0,85.0,17.0,16.0,18.0,18.0
Santa Barbara Senior High,Santa Barbara Unified,Santa Barbara,519.0,126.0,25.0,24.0,23.0,23.0
Santa Clara High,Santa Clara Unified,Santa Clara,430.0,53.0,26.0,26.0,26.0,25.0
Santa Cruz High,Santa Cruz City High,Santa Cruz,268.0,50.0,26.0,25.0,26.0,25.0
Santa Fe High,Whittier Union High,Los Angeles,521.0,114.0,21.0,20.0,20.0,20.0
Santa Maria High,Santa Maria Joint Union High,Santa Barbara,588.0,93.0,18.0,17.0,19.0,19.0
Santa Monica High,Santa Monica-Malibu Unified,Los Angeles,715.0,244.0,27.0,26.0,25.0,25.0
Santa Paula High,Santa Paula Unified,Ventura,372.0,126.0,20.0,18.0,19.0,20.0
Santa Rosa Academy,Menifee Union Elementary,Riverside,113.0,18.0,24.0,24.0,23.0,23.0
Santa Rosa High,Santa Rosa High,Sonoma,458.0,87.0,27.0,25.0,25.0,24.0
Santa Susana High,Simi Valley Unified,Ventura,252.0,26.0,28.0,27.0,25.0,26.0
Santa Teresa High,East Side Union High,Santa Clara,529.0,67.0,26.0,26.0,25.0,25.0
Santa Ynez Valley Union High,Santa Ynez Valley Union High,Santa Barbara,220.0,50.0,26.0,24.0,22.0,22.0
Santana High,Grossmont Union High,San Diego,420.0,47.0,21.0,21.0,23.0,21.0
Santee Education Complex,Los Angeles Unified,Los Angeles,384.0,24.0,18.0,16.0,17.0,17.0
Santiago High,Garden Grove Unified,Orange,533.0,29.0,18.0,18.0,20.0,20.0
Santiago High,Corona-Norco Unified,Riverside,813.0,179.0,23.0,22.0,22.0,22.0
Saratoga High,Los Gatos-Saratoga Joint Union High,Santa Clara,321.0,121.0,31.0,32.0,31.0,30.0
Saugus High,William S. Hart Union High,Los Angeles,546.0,121.0,25.0,23.0,24.0,23.0
Savanna High,Anaheim Union High,Orange,482.0,42.0,20.0,20.0,19.0,19.0
Schurr High,Montebello Unified,Los Angeles,619.0,40.0,20.0,21.0,21.0,21.0
Science Technology Engineering Arts and Mathematics at Legacy High School Complex,Los Angeles Unified,Los Angeles,138.0,46.0,19.0,18.0,19.0,18.0
Scotts Valley High,Scotts Valley Unified,Santa Cruz,192.0,60.0,27.0,26.0,25.0,25.0
Scripps Ranch High,San Diego Unified,San Diego,542.0,203.0,28.0,28.0,27.0,27.0
Seaside High,Monterey Peninsula Unified,Monterey,276.0,34.0,21.0,19.0,20.0,20.0
Segerstrom High,Santa Ana Unified,Orange,457.0,480.0,17.0,16.0,18.0,17.0
Sequoia High,Sequoia Union High,San Mateo,486.0,122.0,24.0,23.0,23.0,23.0
Serra High,San Diego Unified,San Diego,369.0,35.0,23.0,23.0,23.0,23.0
Serrano High,Snowline Joint Unified,San Bernardino,444.0,56.0,22.0,21.0,23.0,22.0
Shadow Hills High,Desert Sands Unified,Riverside,528.0,34.0,18.0,17.0,17.0,18.0
Shafter High,Kern High,Kern,372.0,44.0,21.0,19.0,20.0,20.0
Shasta High,Shasta Union High,Shasta,328.0,46.0,27.0,26.0,25.0,25.0
Sheldon High,Elk Grove Unified,Sacramento,614.0,82.0,23.0,21.0,22.0,22.0
Sherman Oaks Center for Enriched Studies,Los Angeles Unified,Los Angeles,232.0,47.0,25.0,25.0,23.0,24.0
Sierra High,Manteca Unified,San Joaquin,333.0,35.0,24.0,23.0,22.0,22.0
Sierra Vista High,Baldwin Park Unified,Los Angeles,429.0,108.0,19.0,18.0,19.0,19.0
Silver Creek High,East Side Union High,Santa Clara,592.0,50.0,25.0,25.0,26.0,25.0
Silverado High,Victor Valley Union High,San Bernardino,546.0,71.0,19.0,18.0,17.0,19.0
Simi Valley High,Simi Valley Unified,Ventura,537.0,75.0,23.0,24.0,23.0,23.0
