school,number_applicants,accept_rate,sat_25_75,act_25_75,act_25th,act_75th,sat_25th,sat_75th
Stonehill College,6961,67.7,1120-1290,24-28.5,24.0,28.5,1120.0,1290.0
Elmhurst College,4175,67.8,990-1210,20-26,20.0,26.0,990.0,1210.0
Taylor University,2341,68.1,1080-1310,22-28,22.0,28.0,1080.0,1310.0
DePaul University,26895,68.2,1070-1290,--,0.0,0.0,1070.0,1290.0
Knox College,3397,68.3,1090-1350,24-31,24.0,31.0,1090.0,1350.0
Hofstra University,24425,68.5,1160-1340,25-30,25.0,30.0,1160.0,1340.0
Ithaca College,15278,68.5,1160-1338,25-30,25.0,30.0,1160.0,1338.0
California State University--San Bernardino,16307,68.6,910-1090,15-19,15.0,19.0,910.0,1090.0
University of South Carolina,31268,68.6,1180-1370,25-31,25.0,31.0,1180.0,1370.0
Albion College,4043,68.8,990-1200,21-27,21.0,27.0,990.0,1200.0
Presbyterian College (SC),2462,68.8,1010-1210,19-25,19.0,25.0,1010.0,1210.0
Texas Tech University,25384,68.9,1070-1260,22-27,22.0,27.0,1070.0,1260.0
Ohio Wesleyan University,4705,69.0,1060-1295,22-28,22.0,28.0,1060.0,1295.0
Ripon College,2619,69.0,1000-1210,20-27,20.0,27.0,1000.0,1210.0
Drew University,3788,69.2,1110-1310,25-30,25.0,30.0,1110.0,1310.0
Gustavus Adolphus College,4957,69.2,--,25-30,25.0,30.0,0.0,0.0
Central Michigan,16411,69.5,990-1200,20-26,20.0,26.0,990.0,1200.0
Oklahoma State University,15277,70.0,1040-1265,21-28,21.0,28.0,1040.0,1265.0
Bradley University,10708,70.2,1070-1270,22-28,22.0,28.0,1070.0,1270.0
Seton Hall University,19260,70.4,1150-1310,24-28,24.0,28.0,1150.0,1310.0
Biola University,4149,70.5,1080-1310,21-28,21.0,28.0,1080.0,1310.0
Ursinus College,3361,70.9,1140-1320,23-28,23.0,28.0,1140.0,1320.0
Montclair State,14324,70.9,990-1170,--,0.0,0.0,990.0,1170.0
Clarkson University,6885,71.1,1160-1350,24-30,24.0,30.0,1160.0,1350.0
Michigan State University,44322,71.1,1100-1320,23-29,23.0,29.0,1100.0,1320.0
Hollins University,3244,71.2,1070-1300,22-30,22.0,30.0,1070.0,1300.0
Creighton University,10112,71.4,1150-1350,24-30,24.0,30.0,1150.0,1350.0
California Lutheran University,5752,71.5,1070-1250,21-26,21.0,26.0,1070.0,1250.0
University of Mary Washington,5909,71.8,1050-1269,22-29,22.0,29.0,1050.0,1269.0
Christopher Newport University,7204,71.9,1110-1280,22-27,22.0,27.0,1110.0,1280.0
University of California—Merced,25368,72.0,980-1180,17-22,17.0,22.0,980.0,1180.0
Mercer University,5454,72.0,1180-1340,25-30,25.0,30.0,1180.0,1340.0
University of Dayton,17462,72.0,1120-1320,23-29,23.0,29.0,1120.0,1320.0
Lewis & Clark College,5863,72.2,1220-1400,27-31,27.0,31.0,1220.0,1400.0
Hendrix College,1545,72.2,1153-1390,26-32,26.0,32.0,1153.0,1390.0
University of Rhode Island,21259,72.3,1012-1345,20-29,20.0,29.0,1012.0,1345.0
California State University--Chico,25908,72.3,990-1180,18-24,18.0,24.0,990.0,1180.0
Stetson University,13005,72.4,1110-1300,22-29,22.0,29.0,1110.0,1300.0
Quinnipiac University,22753,72.5,1090-1260,23-28,23.0,28.0,1090.0,1260.0
Duquesne University,7411,72.5,1130-1300,23-28,23.0,28.0,1130.0,1300.0
University of Illinois—​Chicago,22696,72.7,1030-1260,21-28,21.0,28.0,1030.0,1260.0
University of Akron,14553,73.0,990-1230,19-25,19.0,25.0,990.0,1230.0
St. John's University (NY),27276,73.1,1070-1270,23-29,23.0,29.0,1070.0,1270.0
University of Cincinnati,23296,73.1,1160-1370,24-29,24.0,29.0,1160.0,1370.0
Simmons University,2933,73.1,1110-1290,23-29,23.0,29.0,1110.0,1290.0
Wayne State University,15716,73.1,1010-1230,21-27,21.0,27.0,1010.0,1230.0
Butler University,14891,73.2,1150-1330,24-30,24.0,30.0,1150.0,1330.0
Point Loma Nazarene University,3277,73.7,1140-1310,24-29,24.0,29.0,1140.0,1310.0
University of North Texas,21540,73.7,1060-1250,20-26,20.0,26.0,1060.0,1250.0
University of North Georgia,6498,73.7,1108-1273,22-27,22.0,27.0,1108.0,1273.0
Xavier University,15100,73.8,1070-1250,22-28,22.0,28.0,1070.0,1250.0
Wheaton College (MA),3460,73.9,1150-1340,27-32,27.0,32.0,1150.0,1340.0
Eastern Michigan,14323,74.1,970-1190,19-25,19.0,25.0,970.0,1190.0
University of Washington--Bothell,4242,74.1,1038-1250,19-28,19.0,28.0,1038.0,1250.0
